,total_bill,tip,size,sex_Female,smoker_No,day_Fri,day_Sat,day_Sun,day_Thur,time_Dinner
0,16.99,1.01,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0
1,10.34,1.66,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0
2,21.01,3.5,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0
3,23.68,3.31,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
4,24.59,3.61,4,1.0,1.0,0.0,0.0,1.0,0.0,1.0
5,25.29,4.71,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
6,8.77,2.0,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
7,26.88,3.12,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
8,15.04,1.96,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
9,14.78,3.23,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
10,10.27,1.71,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
11,35.26,5.0,4,1.0,1.0,0.0,0.0,1.0,0.0,1.0
12,15.42,1.57,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
13,18.43,3.0,4,0.0,1.0,0.0,0.0,1.0,0.0,1.0
14,14.83,3.02,2,1.0,1.0,0.0,0.0,1.0,0.0,1.0
15,21.58,3.92,2,0.0,1.0,0.0,0.0,1.0,0.0,1.0
16,10.33,1.67,3,1.0,1.0,0.0,0.0,1.0,0.0,1.0
17,16.29,3.71,3,0.0,1.0,0.0,0.0,1.0,0.0,1.0
18,16.97,3.5,3,1.0,1.0,0.0,0.0,1.0,0.0,1.0
19,20.65,3.35,3,0.0,1.0,0.0,1.0,0.0,0.0,1.0
20,17.92,4.08,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
21,20.29,2.75,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0
22,15.77,2.23,2,1.0,1.0,0.0,1.0,0.0,0.0,1.0
23,39.42,7.58,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0
24,19.82,3.18,2,0.0,1.0,0.0,1.0,0.0,0.0,1.0
25,17.81,2.34,4,0.0,1.0,0.0,1.0,0.0,0.0,1.0
